Place_Name,Date,Road_Type,Day_Type,Weather,Morning_Traffic,Afternoon_Traffic,Evening_Traffic,Night_Traffic,Peak_Hour_Traffic,Two_Wheelers,Cars,Auto_Rickshaws,Buses,Trucks,Heavy_Vehicles_Total,Avg_Speed_kmph,Signal_Delay_sec,Accident_Count,Accident_Level,Noise_Level_dB,Air_Quality_Index,CO2_Emission_Index,Road_Width_m,Lane_Count,Pedestrian_Count,Parking_Occupancy_%,School_Zone,Hospital_Nearby,Market_Nearby,Bus_Stop_Nearby,CCTV_Available,Street_Light,Violation_Count,Rainfall_mm,Temperature_C,Holiday,Road_Work,Public_Event,Traffic_Police_Presence,Congestion_Level,Overall_Traffic_Index,Emergency_Response_Time_min,Fuel_Consumption_Index,Road_Condition_Index,Min_Speed_kmph,Max_Speed_kmph,Average_Waiting_Time_sec,Signal_Count,Signal_Status
Solar,2023-08-31,NH,Weekday,Hot,1348,2761,3685,314,1101,631,1716,705,323,84,458,39,115,4,Major,55,213,120,28,3,731,30,1,1,1,0,1,1,20,97,38,0,1,1,0,High,43,33,105,46,21,83,24,6,Average
Nasiyanur,2023-09-01,SH,Weekend,Clear,684,3396,1379,1002,4612,522,980,103,161,311,886,69,99,3,Major,47,236,61,12,4,298,13,0,0,0,1,0,1,44,54,33,0,1,1,0,Medium,82,17,89,85,23,97,275,7,Poor
Chennimalai,2023-09-02,Village Road,Weekday,Rainy,863,1986,2001,687,4707,683,436,358,202,456,364,53,131,0,Major,69,136,78,17,3,803,33,1,0,0,0,1,1,30,88,30,1,1,0,1,Low,31,7,76,45,20,97,75,4,Poor
Punjai Puliyampatti,2023-09-03,NH,Weekday,Hot,2304,1121,3381,705,2371,2208,937,73,294,599,702,43,177,3,,84,69,183,19,1,506,92,0,1,1,0,1,0,25,63,21,0,0,1,1,Medium,76,12,134,59,17,42,224,7,Good
Kodumudi,2023-09-04,NH,Weekday,Rainy,1793,732,3726,672,2079,2467,612,796,236,228,412,26,199,4,Major,77,54,157,22,1,581,28,0,0,1,0,0,0,8,64,26,1,0,0,1,Medium,63,35,89,62,26,49,69,6,Good
Modakurichi,2023-09-05,SH,Weekday,Hot,2779,3313,3850,1305,2255,1066,565,347,329,370,819,33,112,3,Major,63,162,52,13,2,347,65,1,1,1,0,0,1,33,84,31,1,0,1,0,Medium,71,36,131,45,21,79,294,2,Good
Bhavani Sagar,2023-09-06,SH,Weekend,Clear,484,743,2659,1018,1876,944,1240,168,41,584,897,49,291,4,Minor,92,299,94,18,2,241,35,1,1,1,0,0,1,22,4,38,0,1,0,0,High,55,44,34,49,21,96,288,4,Average
Kavindapadi,2023-09-07,Village Road,Weekend,Rainy,2782,3098,2299,596,3977,2346,731,50,259,570,718,48,96,4,Major,60,89,154,24,5,955,62,1,0,0,1,1,0,26,13,38,1,0,0,1,Medium,98,5,96,84,27,67,204,3,Average
Sathyamangalam,2023-09-08,NH,Weekday,Fog,804,1204,2778,1253,3397,858,1418,347,301,586,548,30,12,4,Minor,83,288,109,19,5,1159,34,0,1,0,1,0,1,48,48,40,0,0,1,1,Medium,89,23,48,57,14,80,382,6,Average
Solar,2023-09-09,City Road,Weekday,Fog,1638,2635,2993,785,1727,1127,774,694,175,32,198,47,165,1,Minor,92,95,177,7,2,867,99,0,0,0,0,0,1,4,62,32,1,1,1,0,Medium,60,35,40,96,27,57,302,7,Poor
Poondurai,2023-09-10,Village Road,Weekend,Fog,1869,1208,2987,1429,1747,897,1644,462,268,191,287,36,271,1,Minor,59,215,133,22,1,876,50,1,1,0,0,1,1,36,28,36,1,0,1,1,Medium,33,34,89,52,14,99,161,8,Average
Nambiyur,2023-09-11,City Road,Weekday,Hot,2665,2101,3491,1155,4554,269,1942,376,390,305,779,54,234,3,Major,47,67,62,11,1,913,17,0,0,1,1,0,0,27,77,30,0,1,1,1,High,50,6,71,96,16,82,210,7,Poor
Gobichettipalayam,2023-09-12,SH,Weekday,Hot,424,2359,1036,1238,3510,673,1673,501,92,566,611,15,55,1,Major,92,214,114,11,1,59,54,1,0,1,0,1,1,14,1,30,1,1,1,1,Low,32,12,68,52,9,55,135,9,Poor
Gobichettipalayam,2023-09-13,NH,Weekday,Rainy,1045,2774,2356,503,2692,671,1395,62,57,397,227,34,138,4,Major,60,298,169,21,5,838,79,1,1,0,1,1,0,13,34,21,1,1,1,1,Medium,75,7,54,85,6,93,132,8,Poor
Bhavani Sagar,2023-09-14,Village Road,Weekend,Rainy,1094,3133,2041,898,1312,1590,1403,782,290,517,287,35,192,0,Minor,90,68,76,13,2,1135,68,0,0,0,0,1,1,40,97,31,1,1,1,1,High,87,17,117,76,13,53,76,3,Good
Ammapet,2023-09-15,City Road,Weekend,Hot,1800,986,3221,1224,2977,2110,1566,301,81,125,708,62,190,3,,68,101,117,23,2,1002,89,1,1,0,0,0,1,5,80,23,1,1,1,0,Low,44,44,143,89,25,69,96,9,Poor
Nambiyur,2023-09-16,Village Road,Weekday,Cloudy,1413,3436,1840,1144,3196,528,1985,562,259,516,183,67,164,3,Minor,70,244,184,22,2,945,81,1,0,1,1,1,1,40,84,30,1,1,0,0,Medium,78,32,90,96,19,54,300,8,Poor
Vellode,2023-09-17,City Road,Weekday,Rainy,653,951,3540,559,3640,215,1970,98,118,479,349,53,218,4,Major,59,179,131,28,3,1198,83,0,1,1,1,0,1,6,0,32,0,1,0,1,High,61,41,62,57,26,87,232,8,Average
Solar,2023-09-18,City Road,Weekday,Clear,473,779,620,258,2898,1727,296,461,360,518,387,28,168,2,Minor,75,82,120,19,5,653,23,1,0,1,0,1,0,36,89,27,1,1,0,1,Low,63,15,45,40,9,67,102,8,Good
Nambiyur,2023-09-19,NH,Weekend,Clear,2804,2552,1223,959,3727,361,1968,441,133,112,280,23,22,4,Minor,62,183,93,9,3,401,13,0,1,1,1,1,0,15,42,31,0,1,0,1,Medium,93,20,69,72,12,95,184,1,Average
Alangiyam,2023-09-20,Village Road,Weekday,Cloudy,856,1807,3971,453,3300,317,1044,744,341,393,276,69,174,2,Minor,84,292,93,25,2,601,37,1,0,0,1,1,1,12,1,35,0,1,1,0,Medium,82,17,132,65,15,45,229,8,Good
Kavindapadi,2023-09-21,Village Road,Weekday,Clear,365,3495,1842,860,4163,698,396,251,326,230,445,67,251,4,Major,50,275,86,28,4,998,71,1,0,0,0,0,0,3,25,36,1,0,0,1,Low,62,32,94,47,29,49,150,4,Average
Sathyamangalam,2023-09-22,City Road,Weekend,Rainy,1967,2227,2899,496,2598,1622,1927,550,170,211,254,68,220,4,Major,71,266,143,10,5,726,20,1,1,0,1,1,0,48,59,26,0,0,1,0,High,83,28,129,84,8,71,102,6,Good
Erode,2023-09-23,City Road,Weekend,Hot,1338,819,1685,1284,1709,2468,180,725,105,36,420,48,158,0,Minor,50,83,50,21,3,819,24,1,1,0,0,1,1,13,29,36,0,1,0,0,Low,97,21,103,93,17,76,265,2,Average
Poondurai,2023-09-24,NH,Weekend,Rainy,486,401,1487,1224,2927,239,1563,275,228,455,378,40,196,3,Major,86,269,51,17,1,926,16,0,0,1,0,0,1,35,26,30,1,0,0,0,Medium,80,12,146,61,23,47,347,9,Average
Erode,2023-09-25,City Road,Weekend,Rainy,1382,699,3209,646,3005,1290,1002,371,212,138,845,30,217,1,Minor,75,97,77,23,3,254,47,0,1,1,0,1,1,39,76,35,0,1,0,1,Medium,84,10,122,74,11,49,138,7,Poor
Kavindapadi,2023-09-26,SH,Weekend,Hot,541,2048,3219,443,874,921,1342,365,311,594,109,32,139,2,Major,69,216,105,7,1,1199,82,1,0,1,0,1,1,10,19,30,0,1,0,1,Low,45,17,72,40,19,46,128,2,Average
Modakurichi,2023-09-27,City Road,Weekend,Hot,1381,2722,3810,850,2175,1882,642,540,114,331,253,22,200,1,Minor,97,297,125,18,3,736,52,0,1,1,0,0,0,24,31,22,1,0,1,1,Medium,80,17,125,47,5,52,59,2,Good
Alangiyam,2023-09-28,Village Road,Weekday,Clear,1614,1253,3102,1005,3421,920,1188,620,210,383,206,27,259,4,,76,108,87,17,4,640,38,1,0,0,0,0,0,12,35,39,1,1,0,0,High,32,34,116,74,11,65,123,1,Good
Thalavadi,2023-09-29,NH,Weekday,Clear,703,2154,3820,361,3450,520,1786,382,271,327,399,48,119,1,Minor,57,258,145,15,2,220,98,0,1,1,1,1,0,0,11,40,0,1,0,1,Low,79,21,111,55,8,71,342,4,Good
Gobichettipalayam,2023-09-30,SH,Weekday,Cloudy,840,2038,1169,1316,4125,1305,1407,546,152,272,819,50,30,0,,80,148,191,24,2,711,17,0,1,0,1,0,0,39,45,20,0,1,0,0,Low,91,5,119,72,20,92,134,2,Poor
Erode,2023-10-01,City Road,Weekday,Fog,556,1450,2369,1361,1664,816,841,274,92,315,694,37,288,4,,45,202,195,12,1,209,58,0,1,0,1,1,0,6,82,32,1,0,1,0,Low,84,7,35,81,13,46,300,7,Poor
Erode,2023-10-02,SH,Weekend,Hot,2548,2406,2459,1107,2147,1071,779,147,286,201,849,38,61,1,Minor,69,278,191,16,5,109,92,0,1,1,0,0,0,21,82,22,0,1,1,0,High,78,23,90,41,7,43,146,8,Good
Kodumudi,2023-10-03,NH,Weekday,Clear,956,1858,772,1200,3807,862,297,345,310,323,704,35,174,2,Major,69,289,88,9,2,1092,28,1,0,0,1,1,0,43,66,41,1,0,1,0,Medium,47,31,130,83,13,50,97,8,Poor
Chennimalai,2023-10-04,City Road,Weekday,Hot,942,1744,3105,837,4779,2211,577,493,334,239,251,36,239,2,Minor,52,53,40,10,5,772,84,0,0,0,1,0,1,26,41,33,0,0,0,1,High,45,5,116,89,7,54,301,7,Poor
Sivagiri,2023-10-05,Village Road,Weekend,Clear,2330,3196,3738,207,3271,2080,1686,533,293,93,470,43,74,4,Major,97,152,128,24,1,64,65,1,1,1,1,0,1,19,96,35,1,0,1,1,Low,45,13,66,87,21,65,26,5,Average
Anthiyur,2023-10-06,Village Road,Weekday,Fog,2868,627,2580,1404,2149,680,1754,438,295,259,300,19,177,0,Minor,86,189,108,12,2,179,38,1,1,1,1,0,0,35,10,28,1,1,1,1,High,55,36,126,82,7,67,113,9,Average
Nasiyanur,2023-10-07,Village Road,Weekday,Hot,2696,2670,3124,495,4566,1452,910,414,349,519,332,39,95,2,Minor,85,241,198,26,4,92,70,1,0,1,1,0,0,43,63,24,0,1,1,1,Medium,51,14,80,43,21,66,195,1,Poor
Erode,2023-10-08,Village Road,Weekday,Clear,1100,2345,1388,340,1366,1532,1865,247,204,414,460,66,11,1,,69,272,61,8,3,937,97,1,1,0,0,0,1,3,73,26,1,0,0,1,Medium,54,15,88,64,17,66,252,6,Average
Erode,2023-10-09,Village Road,Weekday,Rainy,883,3055,2184,645,3025,2415,169,590,288,145,726,26,112,2,Major,87,156,149,23,3,424,56,0,0,0,1,0,0,30,60,23,0,0,1,0,Medium,50,27,137,47,19,86,82,8,Poor
Vellode,2023-10-10,City Road,Weekday,Hot,786,1239,1151,1181,1115,1524,823,234,95,369,254,45,174,3,Minor,63,286,162,27,1,1129,74,1,0,1,0,0,1,41,95,25,1,1,0,0,Low,42,15,38,93,22,67,97,8,Good
Bhavani,2023-10-11,NH,Weekend,Hot,861,754,3852,853,3342,1734,309,226,113,301,760,20,250,1,,99,277,160,21,5,215,94,0,0,0,1,0,0,40,60,37,0,1,0,0,Medium,68,20,67,79,28,43,98,2,Average
Alangiyam,2023-10-12,NH,Weekday,Fog,1557,567,1124,367,4603,2283,334,678,227,73,862,64,86,2,Major,95,291,91,12,4,302,52,1,1,0,1,0,1,42,103,41,0,0,1,0,Low,79,10,142,54,7,84,346,9,Average
Kodumudi,2023-10-13,Village Road,Weekday,Hot,2704,1218,3866,1296,1595,500,1444,406,70,374,369,24,270,3,,49,120,144,25,1,428,23,0,0,0,1,1,1,22,26,25,0,0,1,0,High,44,16,68,41,15,96,390,2,Poor
Kavindapadi,2023-10-14,SH,Weekend,Cloudy,1943,542,1171,1085,3551,267,248,325,124,135,260,16,78,2,Minor,92,168,174,13,2,987,86,1,1,0,1,0,1,48,28,41,0,0,0,1,Medium,66,13,141,73,16,92,75,8,Good
Anthiyur,2023-10-15,City Road,Weekend,Rainy,1676,2724,3741,1324,1337,1578,414,274,261,183,729,66,46,0,Major,84,130,58,22,2,990,81,0,0,0,0,0,0,26,17,40,1,0,1,0,High,50,40,149,40,10,78,206,6,Poor
Solar,2023-10-16,SH,Weekend,Hot,773,507,1284,790,3832,1389,1378,235,386,578,853,33,59,4,Major,90,183,109,20,3,498,43,0,0,1,1,1,0,18,32,27,0,0,0,0,High,56,13,109,51,10,44,362,6,Good
Erode,2023-10-17,Village Road,Weekday,Hot,695,1364,1090,358,4060,1578,1865,751,211,373,463,46,29,1,,65,215,99,9,5,615,69,1,0,1,0,0,0,27,84,27,0,0,0,0,High,62,15,55,66,18,59,296,2,Good
Anthiyur,2023-10-18,SH,Weekday,Rainy,1907,821,847,1150,1120,735,1351,116,255,126,847,33,86,4,Major,50,227,101,24,5,441,35,0,1,0,1,1,1,17,41,22,0,0,1,0,High,91,21,55,87,21,93,290,3,Average
Kavindapadi,2023-10-19,Village Road,Weekend,Cloudy,1708,1980,2981,1304,2637,1974,399,147,142,269,829,33,66,3,Major,83,192,182,14,1,529,83,0,0,0,1,0,0,6,63,41,1,0,1,1,Low,84,9,41,87,10,77,47,4,Average
Bhavani Sagar,2023-10-20,SH,Weekend,Hot,2294,3248,2359,225,3125,2493,997,378,271,212,308,29,145,4,Minor,92,278,40,15,1,697,73,0,0,1,0,1,1,45,21,22,1,0,0,1,Low,61,38,96,90,12,80,370,8,Poor
Bhavani,2023-10-21,SH,Weekday,Fog,1028,978,3088,1250,838,250,878,143,378,297,316,60,118,4,Major,84,269,116,16,1,605,48,0,1,0,0,0,0,6,49,39,1,0,1,1,Medium,79,31,88,76,8,91,143,1,Average
Bhavani,2023-10-22,SH,Weekend,Fog,2705,2596,3754,395,986,571,1000,460,266,188,884,50,29,4,,90,289,192,20,2,963,61,1,0,0,0,1,0,1,89,32,0,0,0,0,Medium,57,18,140,51,7,48,79,2,Average
Punjai Puliyampatti,2023-10-23,Village Road,Weekday,Clear,2334,2783,3187,553,2189,282,1492,61,219,225,197,31,82,4,,86,159,152,24,1,434,70,0,0,0,0,1,1,31,113,32,1,0,0,0,Low,38,15,63,61,16,66,162,3,Average
Kavindapadi,2023-10-24,SH,Weekend,Fog,968,1900,2029,348,4580,682,258,243,23,183,891,58,252,3,,91,145,196,10,4,997,34,0,1,0,1,0,0,39,16,33,1,1,1,1,High,39,28,64,74,19,79,95,1,Average
Sivagiri,2023-10-25,SH,Weekday,Rainy,1534,2501,1118,1296,4242,1733,408,447,204,551,209,41,100,4,,84,62,180,24,4,99,91,0,1,1,1,1,1,29,107,25,0,0,1,0,Medium,80,28,46,54,29,89,245,4,Average
Erode,2023-10-26,City Road,Weekend,Rainy,667,486,3982,1434,4510,1792,844,407,157,59,743,37,101,3,,79,225,43,23,2,1053,42,0,1,0,0,1,1,31,63,36,1,1,0,1,High,99,43,39,72,21,60,267,4,Poor
Chennimalai,2023-10-27,SH,Weekday,Rainy,2094,3002,1786,1194,4624,2231,920,392,271,439,574,40,128,0,,66,133,50,5,5,290,68,0,1,0,0,0,0,23,4,34,0,1,0,0,Medium,47,5,143,59,21,41,310,3,Average
Bhavani Sagar,2023-10-28,City Road,Weekday,Cloudy,2777,1385,790,1407,1925,715,1771,63,188,318,721,38,186,1,Minor,96,55,178,14,1,178,79,0,1,0,0,0,1,38,68,20,0,0,0,0,Low,58,35,100,50,29,60,51,9,Good
Chennimalai,2023-10-29,SH,Weekend,Hot,453,2769,899,1336,3492,458,227,387,347,258,345,49,262,2,Minor,53,145,129,5,1,91,58,0,1,1,1,1,1,20,96,35,1,1,1,0,High,79,9,139,74,7,67,211,8,Average
Solar,2023-10-30,SH,Weekday,Rainy,948,2958,3264,304,3878,479,1290,222,252,408,323,25,262,1,,68,71,114,21,1,1056,79,1,1,0,0,1,0,1,35,39,1,0,0,0,Medium,37,10,48,45,26,81,335,9,Poor
Ammapet,2023-10-31,Village Road,Weekend,Clear,1213,1688,3659,1247,2692,1746,1708,241,164,387,326,46,93,0,Minor,71,63,134,23,3,1023,53,0,0,1,0,0,1,15,96,23,0,0,0,0,Low,54,42,51,63,9,81,328,2,Average
Kavindapadi,2023-11-01,SH,Weekend,Clear,2650,1407,1700,236,1119,1587,743,308,332,180,387,26,239,2,Minor,69,107,56,17,3,439,28,0,1,0,0,0,1,17,64,35,0,1,0,1,Low,54,11,100,64,6,71,98,2,Good
Kodumudi,2023-11-02,SH,Weekday,Clear,1864,796,3283,1233,1202,1040,1833,507,120,76,468,65,158,4,,85,140,85,6,2,806,94,0,0,1,0,1,1,43,90,31,1,1,1,0,High,34,21,148,50,23,51,79,4,Poor
Anthiyur,2023-11-03,City Road,Weekday,Fog,500,2459,3893,470,1965,1028,780,232,199,494,144,50,95,1,Minor,67,162,162,19,2,155,57,0,1,1,1,0,0,19,117,30,0,1,1,0,High,58,39,130,89,6,79,389,6,Good
Erode,2023-11-04,NH,Weekday,Hot,624,3059,2737,1465,2923,875,1334,111,349,353,869,38,29,1,Minor,96,137,73,8,4,1197,16,1,0,1,1,0,1,39,109,22,1,0,1,0,Low,69,12,59,65,23,58,188,1,Average
Nambiyur,2023-11-05,Village Road,Weekday,Clear,833,2420,3198,1049,4372,667,1397,189,90,591,822,68,194,1,Minor,76,131,146,20,5,263,44,0,0,1,0,1,0,6,7,31,1,0,1,0,Low,82,43,34,70,10,49,108,1,Average
Kodumudi,2023-11-06,City Road,Weekend,Hot,1702,1348,730,1036,2123,492,1513,738,301,371,157,60,152,1,,77,140,108,11,2,862,87,0,0,1,1,0,0,43,77,39,1,0,1,1,High,44,22,119,62,26,89,68,8,Poor
Arachalur,2023-11-07,City Road,Weekday,Cloudy,917,1693,1304,290,3644,831,974,69,167,133,446,21,86,0,,57,204,81,8,1,1078,17,1,0,0,0,0,1,30,56,25,1,1,0,1,Medium,36,15,69,74,9,82,312,4,Good
Bhavani Sagar,2023-11-08,Village Road,Weekday,Rainy,2505,1159,3716,581,4754,311,625,92,315,293,459,22,247,3,Minor,46,289,85,6,3,868,47,1,1,1,1,1,1,19,118,33,1,0,1,1,High,82,35,51,51,28,48,325,7,Average
Alangiyam,2023-11-09,City Road,Weekend,Hot,2559,1164,3374,838,3275,210,1932,553,124,292,791,27,73,3,Major,98,261,186,14,4,632,39,0,0,0,1,1,0,18,2,28,1,0,1,1,Medium,35,9,105,93,14,75,371,3,Average
Thalavadi,2023-11-10,City Road,Weekday,Fog,2176,876,2369,1111,4677,837,1536,286,356,104,700,28,251,3,,78,56,92,14,2,373,17,0,0,0,0,1,1,29,39,33,1,1,1,1,Medium,82,29,119,66,24,82,105,5,Average
Erode,2023-11-11,NH,Weekend,Rainy,2219,2184,2348,653,2734,1296,620,720,112,534,453,45,214,2,,72,298,42,7,4,495,45,0,1,0,1,0,0,2,23,27,0,1,1,0,High,52,35,146,40,22,83,63,3,Average
Alangiyam,2023-11-12,SH,Weekday,Fog,755,661,2386,840,2158,1360,1307,136,361,488,729,69,117,4,,85,171,83,21,4,748,82,0,1,0,0,0,1,3,75,27,0,0,1,0,High,47,10,89,79,10,47,195,2,Good
Nambiyur,2023-11-13,Village Road,Weekend,Cloudy,1236,2622,1781,1408,4670,2270,1234,242,307,380,154,45,103,3,Major,77,181,73,18,4,991,16,0,1,0,1,1,0,30,28,30,0,0,1,0,High,65,22,104,94,24,97,238,7,Poor
Nasiyanur,2023-11-14,NH,Weekend,Hot,984,917,850,631,2420,2199,1089,103,251,378,574,22,108,4,Major,64,217,165,12,2,346,39,0,1,0,0,1,0,12,116,30,1,1,0,0,High,66,43,142,95,27,43,371,9,Good
Bhavani Sagar,2023-11-15,SH,Weekday,Hot,1617,3068,3497,484,3545,654,1420,381,236,197,872,44,162,4,Major,85,178,135,11,2,323,49,0,1,1,0,0,1,36,61,22,1,1,1,1,Low,39,34,94,64,20,75,150,2,Poor
Alangiyam,2023-11-16,Village Road,Weekend,Clear,1962,2760,3812,1363,3612,682,1946,187,71,263,855,58,110,3,Minor,51,112,62,9,5,744,68,1,0,0,1,0,0,46,7,32,0,0,1,1,Low,84,25,51,49,27,85,296,7,Average
Kavindapadi,2023-11-17,Village Road,Weekend,Rainy,2452,2622,3822,236,1477,525,482,329,72,383,480,51,278,0,Minor,99,145,53,23,5,242,36,0,1,1,1,1,1,22,5,20,1,1,1,1,Low,48,14,99,60,28,88,291,3,Poor
Solar,2023-11-18,SH,Weekend,Hot,1481,2379,2544,286,4903,847,976,147,58,442,611,29,36,3,Major,47,279,186,18,3,1072,38,1,1,0,0,0,0,6,72,35,1,0,0,0,Low,80,39,148,42,13,89,322,4,Poor
Bhavani Sagar,2023-11-19,SH,Weekend,Rainy,2661,1739,1739,1388,3920,809,505,653,125,80,451,62,133,3,Major,72,250,62,15,5,552,47,0,1,0,0,1,1,6,29,37,1,1,1,1,Low,69,26,110,62,14,91,57,6,Good
Modakurichi,2023-11-20,SH,Weekday,Fog,1726,1099,3508,764,4708,579,503,147,398,140,461,42,235,2,Major,50,187,71,23,4,272,75,0,0,1,1,0,1,34,1,37,1,0,1,1,Medium,39,7,93,61,10,55,69,1,Poor
Perundurai,2023-11-21,SH,Weekday,Hot,2975,3361,3469,450,1882,632,1806,325,274,425,498,22,128,3,Major,46,167,98,16,1,415,59,1,0,1,0,0,1,4,30,39,0,0,0,0,High,40,27,93,53,26,86,111,3,Good
Punjai Puliyampatti,2023-11-22,City Road,Weekday,Fog,1034,922,1086,727,1005,2409,1356,588,266,386,854,47,253,0,,81,203,143,11,1,1081,30,0,1,1,0,1,0,31,59,35,1,1,0,1,High,96,14,31,76,15,64,245,3,Average
Ammapet,2023-11-23,SH,Weekday,Cloudy,1962,1562,645,886,3018,823,1904,293,397,93,521,60,143,1,,91,180,142,7,3,607,20,0,0,0,0,0,1,43,106,33,1,1,0,0,Low,31,39,65,44,21,65,335,1,Good
Chennimalai,2023-11-24,Village Road,Weekend,Cloudy,831,3105,2669,282,979,307,1038,279,60,463,735,18,172,4,,64,117,62,27,2,1069,26,1,1,1,0,0,1,23,54,27,1,0,0,1,Medium,81,11,56,70,9,42,121,8,Good
Sivagiri,2023-11-25,SH,Weekend,Cloudy,2643,935,2048,550,920,2181,1547,392,280,291,499,15,67,3,Minor,96,213,143,8,1,831,87,1,0,1,1,0,1,4,17,28,1,0,0,0,Low,44,44,41,48,16,58,306,3,Average
Nasiyanur,2023-11-26,NH,Weekday,Clear,587,3470,698,998,920,380,446,642,322,154,254,41,279,3,Minor,81,271,68,21,3,83,19,0,1,1,1,1,0,9,75,28,1,1,1,1,Medium,73,15,53,44,16,43,325,5,Poor
Poondurai,2023-11-27,City Road,Weekday,Rainy,2105,1631,2197,1243,2538,241,396,106,355,215,280,30,190,0,,74,67,55,12,2,1011,38,0,0,1,1,0,0,47,16,28,0,0,0,1,Low,42,20,98,93,12,64,224,1,Good
Nasiyanur,2023-11-28,City Road,Weekend,Clear,2808,1281,1328,403,1777,1837,154,555,205,340,838,16,41,1,Minor,97,160,187,29,1,888,22,0,1,0,1,1,1,25,53,36,1,0,0,1,Low,52,9,70,89,8,47,377,8,Average
Gobichettipalayam,2023-11-29,SH,Weekend,Fog,1745,851,1079,271,2500,341,577,141,66,481,301,50,168,1,,69,127,60,7,2,1183,72,0,0,1,1,0,0,38,6,20,1,1,0,0,Low,81,29,120,54,19,85,227,2,Good
Arachalur,2023-11-30,City Road,Weekday,Hot,327,1404,1925,953,3043,987,606,422,195,375,574,41,176,1,Minor,96,228,189,10,2,467,31,1,0,0,0,0,0,12,109,36,1,1,1,1,Low,68,14,56,40,9,72,160,8,Good
Arachalur,2023-12-01,Village Road,Weekend,Rainy,1586,2253,1053,1360,4743,1557,808,639,394,429,610,49,296,1,Major,45,256,50,18,1,999,56,0,1,1,0,1,0,16,76,20,0,1,1,1,Low,98,37,47,47,13,88,214,1,Good
Thalavadi,2023-12-02,NH,Weekday,Clear,1111,3459,3881,945,2158,2426,221,790,187,187,634,67,219,0,,45,99,135,11,3,570,34,1,0,1,0,0,0,3,74,39,1,1,1,1,High,91,28,33,99,15,74,303,3,Poor
Nasiyanur,2023-12-03,SH,Weekend,Rainy,1383,2226,2589,1256,2425,2311,1361,582,35,138,152,65,89,1,Minor,55,144,73,19,2,800,67,1,1,1,1,1,1,38,11,27,1,0,1,1,Low,38,30,138,75,26,96,133,9,Poor
Nasiyanur,2023-12-04,City Road,Weekend,Hot,1487,1132,3422,1367,1999,1848,1096,604,301,92,118,33,98,2,Minor,69,123,78,13,1,102,18,0,1,1,0,0,1,1,104,35,0,1,1,0,Low,30,42,50,45,19,96,326,8,Poor
Alangiyam,2023-12-05,SH,Weekday,Rainy,1244,1632,2673,929,1957,1587,1423,555,168,80,322,66,124,0,Major,73,135,156,7,1,722,42,0,1,0,0,1,1,27,96,36,0,0,1,1,Medium,73,42,105,67,26,63,306,1,Average
Perundurai,2023-12-06,Village Road,Weekday,Hot,1408,2844,1417,932,2195,1509,1932,77,397,164,108,29,204,1,,62,177,196,18,1,816,99,0,0,0,1,1,0,14,26,33,1,0,0,1,Low,83,42,93,57,24,95,253,5,Average
Bhavani,2023-12-07,SH,Weekend,Rainy,950,3486,2081,338,4990,2187,622,374,33,304,340,15,290,4,Major,56,172,172,23,2,1178,95,0,1,0,1,0,1,13,7,20,0,0,1,0,High,34,29,96,62,5,60,109,9,Average
Perundurai,2023-12-08,Village Road,Weekend,Fog,2213,825,1672,573,1760,452,1328,543,307,304,600,18,188,3,Major,48,145,168,10,3,844,28,0,0,1,1,1,0,5,103,27,0,0,1,0,Low,39,20,91,75,19,60,84,5,Poor
Perundurai,2023-12-09,Village Road,Weekend,Hot,1926,3052,2218,931,1655,1424,536,607,367,418,357,52,74,1,,92,155,43,12,3,1010,94,0,1,0,1,1,0,33,115,26,1,0,0,0,Medium,45,27,117,71,18,45,253,8,Good
Bhavani,2023-12-10,SH,Weekend,Clear,2747,1814,2601,1266,4286,951,1700,720,233,406,97,64,198,3,Major,70,62,58,23,1,151,49,1,0,0,1,1,0,16,98,38,0,1,0,0,Medium,33,33,90,54,29,84,103,3,Average
Punjai Puliyampatti,2023-12-11,Village Road,Weekend,Cloudy,2470,2844,2904,322,1542,1834,764,55,148,564,810,33,296,0,,90,241,192,24,3,531,26,1,0,0,0,0,1,5,70,23,0,0,0,1,High,62,24,60,88,15,65,274,3,Good
Punjai Puliyampatti,2023-12-12,NH,Weekday,Rainy,826,2659,2860,809,864,1851,1219,513,314,471,169,20,60,4,Major,58,173,177,28,4,908,72,1,0,0,0,0,1,39,11,41,1,1,0,1,High,32,42,120,67,12,57,225,6,Average
Vellode,2023-12-13,City Road,Weekend,Fog,334,1890,923,902,1087,235,164,192,177,174,274,26,11,1,,90,132,132,15,1,553,93,1,1,1,0,1,0,11,114,33,1,1,1,0,Medium,45,15,37,92,9,63,224,6,Average
Arachalur,2023-12-14,City Road,Weekend,Hot,1684,737,2944,1414,4758,220,1947,785,163,72,264,61,208,4,,70,133,185,20,3,651,78,0,1,1,0,1,0,3,56,28,1,1,1,0,Medium,56,35,33,89,12,94,40,3,Poor
Thalavadi,2023-12-15,NH,Weekend,Clear,2078,3373,2919,1205,1884,736,1919,463,92,338,566,49,59,1,,75,191,187,28,4,512,79,1,1,1,1,0,0,49,22,25,1,0,0,1,High,76,39,105,72,21,79,391,7,Good
Bhavani,2023-12-16,Village Road,Weekday,Cloudy,1739,2100,1985,1159,1141,1733,1472,613,83,285,486,65,60,1,Major,86,70,181,5,2,128,29,0,1,0,1,1,0,40,6,27,0,0,1,1,High,62,29,42,82,23,75,306,4,Average
